Date,Price,Open,High,Low,Vol.,Change %
4/1/2022,"73,612.80","72,982.10","74,513.80","72,351.30",6.11M,0.99%
4/4/2022,"74,063.30","73,883.10","74,333.60","73,432.60",3.81M,0.61%
4/5/2022,"72,441.40","73,702.90","73,702.90","72,441.40",2.20M,-2.19%
4/6/2022,"71,450.30","72,081.00","73,162.30","71,270.10",4.31M,-1.37%
4/7/2022,"70,729.50","71,990.90","72,081.00","70,729.50",1.76M,-1.01%
4/8/2022,"69,648.30","70,729.50","71,270.10","69,648.30",2.74M,-1.53%
4/12/2022,"69,197.80","69,648.30","70,098.80","68,927.50",1.78M,-0.65%
4/13/2022,"69,558.20","69,197.80","70,729.50","69,107.70",2.12M,0.52%
4/14/2022,"68,747.30","69,828.50","70,279.00","68,747.30",1.81M,-1.17%
4/15/2022,"68,927.50","68,927.50","69,918.60","68,477.00",1.36M,0.26%
4/18/2022,"69,378.00","68,927.50","70,188.90","68,837.40",2.56M,0.65%
4/19/2022,"68,477.00","69,468.10","70,008.70","68,477.00",1.67M,-1.30%
4/20/2022,"68,116.60","68,477.00","69,107.70","68,116.60",1.93M,-0.53%
4/21/2022,"67,576.00","67,846.30","68,927.50","67,576.00",4.62M,-0.79%
4/22/2022,"68,386.90","68,206.70","68,927.50","68,026.50",2.80M,1.20%
4/25/2022,"66,224.50","68,477.00","68,747.30","65,774.00",2.66M,-3.16%
4/26/2022,"68,386.90","66,224.50","68,477.00","63,881.80",3.88M,3.27%
4/27/2022,"67,576.00","67,756.20","68,296.80","66,404.70",1.83M,-1.19%
4/28/2022,"66,945.30","67,485.90","67,485.90","66,494.80",1.91M,-0.93%
4/29/2022,"66,855.20","67,035.40","67,576.00","66,675.00",1.63M,-0.13%
5/4/2022,"65,323.40","66,855.20","67,035.40","65,323.40",1.76M,-2.29%
5/5/2022,"64,963.00","65,954.20","65,954.20","64,422.40",1.55M,-0.55%
5/6/2022,"63,251.10","64,332.30","64,512.50","62,620.40",2.11M,-2.64%
5/9/2022,"63,070.90","63,251.10","64,422.40","62,710.50",2.39M,-0.28%
5/10/2022,"63,611.50","63,070.90","64,782.80","63,070.90",3.11M,0.86%
5/11/2022,"62,620.40","63,611.50","64,062.00","62,620.40",1.79M,-1.56%
5/12/2022,"59,917.40","62,890.70","62,890.70","59,917.40",3.19M,-4.32%
5/13/2022,"59,557.00","60,367.90","61,088.70","59,376.80",4.59M,-0.60%
5/16/2022,"59,286.70","60,007.50","60,908.50","59,196.60",1.98M,-0.45%
5/17/2022,"63,070.90","59,106.50","63,070.90","58,746.10",2.11M,6.38%
5/18/2022,"63,341.20","63,070.90","63,521.40","62,620.40",1.98M,0.43%
5/19/2022,"62,169.90","62,620.40","63,070.90","62,169.90",1.45M,-1.85%
5/20/2022,"61,359.00","62,169.90","62,980.80","61,268.90",1.30M,-1.30%
5/23/2022,"59,737.20","61,719.40","61,899.60","59,647.10",2.02M,-2.64%
